starttime	seconds	ctime	dtime	ttime	wait
Tue Jul 26 21:06:39 2022	1658849799	0	1	1	1
Tue Jul 26 21:06:39 2022	1658849799	0	1	1	1
Tue Jul 26 21:06:39 2022	1658849799	0	1	1	1
Tue Jul 26 21:06:38 2022	1658849798	0	1	1	1
Tue Jul 26 21:06:38 2022	1658849798	0	1	1	1
Tue Jul 26 21:06:39 2022	1658849799	0	1	1	1
Tue Jul 26 21:06:39 2022	1658849799	0	1	1	1
Tue Jul 26 21:06:38 2022	1658849798	0	1	1	1
Tue Jul 26 21:06:39 2022	1658849799	0	1	1	1
Tue Jul 26 21:06:38 2022	1658849798	0	1	1	1
Tue Jul 26 21:06:39 2022	1658849799	0	1	1	1
Tue Jul 26 21:06:39 2022	1658849799	0	1	1	1
Tue Jul 26 21:06:39 2022	1658849799	0	1	1	1
Tue Jul 26 21:06:39 2022	1658849799	0	1	1	1
Tue Jul 26 21:06:39 2022	1658849799	0	1	1	1
Tue Jul 26 21:06:39 2022	1658849799	0	1	1	1
Tue Jul 26 21:06:39 2022	1658849799	0	1	1	1
Tue Jul 26 21:06:39 2022	1658849799	0	1	1	1
Tue Jul 26 21:06:39 2022	1658849799	0	1	1	1
Tue Jul 26 21:06:38 2022	1658849798	0	1	1	1
Tue Jul 26 21:06:38 2022	1658849798	0	1	1	1
Tue Jul 26 21:06:39 2022	1658849799	0	1	1	1
Tue Jul 26 21:06:39 2022	1658849799	0	1	1	1
Tue Jul 26 21:06:39 2022	1658849799	0	1	1	1
Tue Jul 26 21:06:38 2022	1658849798	0	1	1	1
Tue Jul 26 21:06:38 2022	1658849798	0	1	1	1
Tue Jul 26 21:06:38 2022	1658849798	0	1	1	1
Tue Jul 26 21:06:39 2022	1658849799	0	1	1	1
Tue Jul 26 21:06:38 2022	1658849798	0	1	1	1
Tue Jul 26 21:06:39 2022	1658849799	0	1	1	1
Tue Jul 26 21:06:39 2022	1658849799	0	1	1	1
Tue Jul 26 21:06:38 2022	1658849798	0	1	1	1
Tue Jul 26 21:06:38 2022	1658849798	0	1	1	1
Tue Jul 26 21:06:39 2022	1658849799	0	1	1	1
Tue Jul 26 21:06:38 2022	1658849798	0	1	1	1
